"Date","Site","Clinic","Manager","Is the current WIC logo on or above entrance?","Are accurate hours of operation displayed on door in a permanent format?","Is staff properly welcoming, Hi, Welcome to WIC?","Is staff at entrance to greet and provide information promptly?","Is staff communicating options to walk-ins?","Is water visible and available to clients?","Is the WIC material QR code visible, colorful & intentional?","Is the WIC material QR code linked to the WIC shopping guide?","Is the WIC material QR code linked to social media?","Is the WIC material QR code linked to the WIC cookbook?","Is the WIC material QR code linked to state website?","Does the entire scope of practice take place in a private room?","Do all rooms display the Jordan Michael Design?","Do all private rooms display room status indicators?","Is there a television present?","Is the television utilized appropriately?","Is the environment peaceful and neutral? (smells, sounds, etc.)","Is there developmentally appropriate entertainment for children in every room?","Is a clinic manager or supervisor present?","Padded or gel chairs available","Rolling cart per room","Client does not move","Room per Certifier","# of Families Waiting","Minimum of 2 client padded chairs","Maximum of 8 sq ft desk","Maximum of 12 sq ft lab equipment","Small filing cabinet","3 or more wall hangings","Sharp corners covered","Electrical outlets covered","Hazard box up and out of the way","No flammable clutter","No confidential convo with door open","Alternative lighting","Interactive rugs","Kitchen sets","1 or more child chairs","Child books visible","Standard filing system for forms","Gloves mounted to wall"
2023-08-16,"1","MLK Center","Heather",0,0.856957723212148,0.931550321537102,0.931550321537102,1,0.881260761850074,1,1,1,0.7738402565072,1,1,1,0.655101018357275,1,1,1,1,1,0.697986577181208,0,1,1,1.071907957814,0.871060171919771,1,1,0.826647564469914,1,0.871060171919771,1,0.653295128939828,1,1,0,0.935530085959885,0.782234957020057,0.762177650429799,0.935530085959885,0.653295128939828,0.871060171919771
2022-11-28,"3","Westmoreland","Ana",0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-05,"3","Westmoreland","Ana",0,1,0.594594594594595,0.594594594594595,1,1,1,0.594594594594595,1,0.594594594594595,1,1,1,0,1,0.594594594594595,1,0.405405405405405,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-13,"3","Westmoreland","Ana",0,1,0.767676767676768,0.767676767676768,1,1,1,0.767676767676768,1,0.767676767676768,1,1,1,0,1,0.767676767676768,1,0.232323232323232,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-19,"3","Westmoreland","Ana",0,1,0.842660052705007,0.842660052705007,1,1,1,0.465044179197024,1,0.465044179197024,1,1,1,0,1,0.842660052705007,1,0.534955820802976,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-03,"3","Westmoreland","Ana",0,1,0.884736290604261,0.884736290604261,1,1,1,0.688787984631505,1,0.688787984631505,1,1,1,0,1,0.884736290604261,1,0.703108627314006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-09,"3","Westmoreland","Ana",0,1,0.913754158281654,0.913754158281654,1,1,1,0.777198242227607,1,0.777198242227607,1,1,1,0.327734198529714,1,0.913754158281654,1,0.784631812394759,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-06,"3","Westmoreland","Ana",0,1,0.928623732255609,0.928623732255609,1,1,1,0.833827126657591,1,0.833827126657591,1,1,1,0.545558139503637,1,0.928623732255609,1,0.835546987504683,0.595534482781787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-05,"3","Westmoreland","Ana",0.623121894405197,1,0.954182213646677,0.954182213646677,1,0.376878105594803,1,0.903106648531497,1,0.903106648531497,1,1,1,0.750570816975636,1,0.954182213646677,1,0.903100051873175,1,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-01,"3","Westmoreland","Ana",0.623121894405197,1,0.954182213646677,0.954182213646677,1,0.376878105594803,1,0.903106648531497,1,0.903106648531497,1,1,1,0.750570816975636,1,0.954182213646677,1,0.903100051873175,0.766362138685038,0.66976186910289,0.903399730417852,0.903399730417852,1,4.91268533772652,0.75,0.5,0.25,0.25,0.75,0,0.25,0,1,1,0,0,0.25,0,0,0,0
2023-06-01,"3","Westmoreland","Ana",0.623121894405197,1,0.954182213646677,0.954182213646677,1,0.376878105594803,1,0.903106648531497,1,0.903106648531497,1,1,1,0.750570816975636,1,0.954182213646677,1,0.903100051873175,0.766362138685038,0.66976186910289,0.903399730417852,0.903399730417852,1,4.91268533772652,0.8,0.6,0.4,0.550819672131148,0.950819672131147,0,0.4,0.150819672131148,1,1,0,0,0.2,0,0,0,0
2023-06-05,"3","Westmoreland","Ana",0.623121894405197,1,0.954182213646677,0.954182213646677,1,0.376878105594803,1,0.903106648531497,1,0.903106648531497,1,1,1,0.750570816975636,1,0.954182213646677,1,0.903100051873175,0.307125654728549,0.66976186910289,0.903399730417852,0.903399730417852,1,4.91268533772652,0.8,0.6,0.4,0.550819672131148,0.950819672131147,0,0.4,0.150819672131148,1,1,0,0,0.2,0,0,0,0
