Date,Site,Clinic,Manager,Is the current WIC logo on or above entrance?,Are accurate hours of operation displayed on door in a permanent format?,"Is staff properly welcoming, Hi, Welcome to WIC?",Is staff at entrance to greet and provide information promptly?,Is staff communicating options to walk-ins?,Is water visible and available to clients?,"Is the WIC material QR code visible, colorful & intentional?",Is the WIC material QR code linked to the WIC shopping guide?,Is the WIC material QR code linked to social media?,Is the WIC material QR code linked to the WIC cookbook?,Is the WIC material QR code linked to state website?,Does the entire scope of practice take place in a private room?,Do all rooms display the Jordan Michael Design?,Do all private rooms display room status indicators?,Is there a television present?,Is the television utilized appropriately?,"Is the environment peaceful and neutral? (smells, sounds, etc.)",Is there developmentally appropriate entertainment for children in every room?,Is a clinic manager or supervisor present?,Padded or gel chairs available,Rolling cart per room,Client does not move,Room per Certifier,# of Families Waiting,Minimum of 2 client padded chairs,Maximum of 8 sq ft desk,Maximum of 12 sq ft lab equipment,Small filing cabinet,3 or more wall hangings,Sharp corners covered,Electrical outlets covered,Hazard box up and out of the way,No flammable clutter,No confidential convo with door open,Alternative lighting,Interactive rugs,Kitchen sets,1 or more child chairs,Child books visible,Standard filing system for forms,Gloves mounted to wall
2023-09-01,1,MLK Center,Heather,0,0.8569577232121485,0.9315503215371017,0.9315503215371017,1,0.8812607618500744,1,1,1,0.7738402565072003,1,1,1,0.6551010183572747,1,1,1,1,1,0.8421675244894571,0.7063340527976092,1,1,1.7265689855553712,0.9385822099371733,1,1,0.929685240348633,1,0.9385822099371733,1,0.859370480697266,1,1,0.5650436685780056,0.9692911049685866,0.9207882707600927,0.8989763453172197,0.9692911049685866,0.859370480697266,0.9385822099371733
2023-09-11,1,MLK Center,Heather,0,0.8569577232121485,0.9315503215371017,0.9315503215371017,1,0.8812607618500744,1,1,1,0.7738402565072003,1,1,1,0.6551010183572747,1,1,1,1,1,0.8421675244894571,0.7063340527976092,1,1,1.7265689855553712,0.9385822099371733,1,1,0.929685240348633,1,0.9385822099371733,1,0.859370480697266,1,1,0.5650436685780056,0.9692911049685866,0.9207882707600927,0.8989763453172197,0.9692911049685866,0.859370480697266,0.9385822099371733
2023-10-05,1,MLK Center,Heather,0,0.8569577232121485,0.9315503215371017,0.9315503215371017,1,0.8812607618500744,1,1,1,0.7738402565072003,1,1,1,0.6551010183572747,1,1,1,1,1,0.8421675244894571,0.7063340527976092,1,1,1.7265689855553712,0.9385822099371733,1,1,0.929685240348633,1,0.9385822099371733,1,0.859370480697266,1,1,0.5650436685780056,0.9692911049685866,0.9207882707600927,0.8989763453172197,0.9692911049685866,0.859370480697266,0.9385822099371733
2023-10-05,1,MLK Center,Heather,0,0.8569577232121485,0.9315503215371017,0.9315503215371017,1,0.8812607618500744,1,1,1,0.7738402565072003,1,1,1,0.6551010183572747,1,1,1,1,1,0.8421675244894571,0.7063340527976092,1,1,1.7265689855553712,0.9385822099371733,1,1,0.929685240348633,1,0.9385822099371733,1,0.859370480697266,1,1,0.5650436685780056,0.9692911049685866,0.9207882707600927,0.8989763453172197,0.9692911049685866,0.859370480697266,0.9385822099371733
2023-10-05,1,MLK Center,Heather,0,0.8569577232121485,0.9315503215371017,0.9315503215371017,1,0.8812607618500744,1,1,1,0.7738402565072003,1,1,1,0.6551010183572747,1,1,1,1,1,0.8421675244894571,0.7063340527976092,1,1,1.7265689855553712,0.9385822099371733,1,1,0.929685240348633,1,0.9385822099371733,1,0.859370480697266,1,1,0.5650436685780056,0.9692911049685866,0.9207882707600927,0.8989763453172197,0.9692911049685866,0.859370480697266,0.9385822099371733
2022-11-28,3,Westmoreland,Arria,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-05,3,Westmoreland,Arria,0,1,0.5945945945945946,0.5945945945945946,1,1,1,0.5945945945945946,1,0.5945945945945946,1,1,1,0,1,0.5945945945945946,1,0.40540540540540543,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-13,3,Westmoreland,Arria,0,1,0.7676767676767676,0.7676767676767676,1,1,1,0.7676767676767676,1,0.7676767676767676,1,1,1,0,1,0.7676767676767676,1,0.2323232323232323,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-19,3,Westmoreland,Arria,0,1,0.842660052705007,0.842660052705007,1,1,1,0.46504417919702373,1,0.46504417919702373,1,1,1,0,1,0.842660052705007,1,0.5349558208029763,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-03,3,Westmoreland,Arria,0,1,0.8847362906042613,0.8847362906042613,1,1,1,0.6887879846315054,1,0.6887879846315054,1,1,1,0,1,0.8847362906042613,1,0.7031086273140063,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-09,3,Westmoreland,Arria,0,1,0.9137541582816542,0.9137541582816542,1,1,1,0.7771982422276068,1,0.7771982422276068,1,1,1,0.3277341985297137,1,0.9137541582816542,1,0.7846318123947594,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-06,3,Westmoreland,Arria,0,1,0.9286237322556095,0.9286237322556095,1,1,1,0.8338271266575907,1,0.8338271266575907,1,1,1,0.5455581395036365,1,0.9286237322556095,1,0.8355469875046826,0.5955344827817868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-05,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,1,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-01,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.9238969472979449,0.8744737004282195,0.9505767531302746,0.9505767531302746,1,1.5341646428402615,0.75,0.5,0.25,0.25,0.75,0,0.25,0,1,1,0,0,0.25,0,0,0,0
2023-06-01,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.9238969472979449,0.8744737004282195,0.9505767531302746,0.9505767531302746,1,1.5341646428402615,0.8,0.6,0.4,0.5508196721311476,0.9508196721311475,0,0.4,0.15081967213114753,1,1,0,0,0.2,0,0,0,0
2023-06-05,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.30712565472854936,0.8744737004282195,0.9505767531302746,0.9505767531302746,1,1.5341646428402615,0.8,0.6,0.4,0.5508196721311476,0.9508196721311475,0,0.4,0.15081967213114753,1,1,0,0,0.2,0,0,0,0
2023-06-05,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.16483516483516483,0,0.8351648351648351,0.8351648351648351,1,2.8351648351648353,0.8,0.6,0.4,0.5508196721311476,0.9508196721311475,0,0.4,0.15081967213114753,1,1,0,0,0.2,0,0,0,0
2023-07-01,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.9238969472979449,0.8744737004282195,0.9505767531302746,0.9505767531302746,1,1.5341646428402615,0.9306590257879656,0.934065934065934,0.8647249598538996,0.9082779684498881,0.9742120343839542,0.5953839856418652,0.8647249598538996,0.6389369942378538,1,1,0,0,0.03296703296703297,0,0,0.5953839856418652,0.5953839856418652
2023-07-03,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.7663621386850381,0.6697618691028905,0.9033997304178523,0.9033997304178523,1,4.912685337726524,0.9306590257879656,0.934065934065934,0.8647249598538996,0.9082779684498881,0.9742120343839542,0.5953839856418652,0.8647249598538996,0.6389369942378538,1,1,0,0,0.03296703296703297,0,0,0.5953839856418652,0.5953839856418652
