Date,CSAT,CSAT (n),Site
2023-10-01,6.63862151725416,11.53260434775913,1
2023-11-01,6.739608142612726,10.612914587493336,1
2023-12-01,6.724248800069715,11.075700893768108,1
2024-01-01,6.72173661184163,10.998486041653099,1
2024-02-01,6.723621529567084,10.989090187922244,1
2024-03-01,6.723218183417378,10.997563793268654,1
2023-10-01,6.571485440294126,68.19059024178458,3
2023-11-01,6.582476437970594,63.22834045844539,3
2023-12-01,6.603537045983219,61.049496028515165,3
2024-01-01,6.611113433407714,60.66406489551375,3
2024-02-01,6.6120573183391524,60.73138625020189,3
2024-03-01,6.611659096139226,60.79940635131763,3
2023-10-01,6.528552358953809,120.80372260933206,5
2023-11-01,6.528150860104733,124.09983107916304,5
2023-12-01,6.5264843132505614,124.63762035463702,5
2024-01-01,6.526239023975248,124.79974094508458,5
2024-02-01,6.5261608044879695,124.83666977389356,5
2024-03-01,6.526143358746643,124.84611972264906,5
2023-10-01,6.653339028078284,71.68871421782052,8
2023-11-01,6.630589027952828,72.78185369122468,8
2023-12-01,6.641812849047062,72.51802641204262,8
2024-01-01,6.63716419540462,72.65431626541101,8
2024-02-01,6.639176722698486,72.59846924496253,8
2024-03-01,6.638315628171946,72.62271715626306,8
2023-10-01,6.715672486264388,116.1540553615331,9
2023-11-01,6.672350936915732,129.62376519857702,9
2023-12-01,6.664894554691605,124.96576134350306,9
2024-01-01,6.669447253329202,124.80490851096619,9
2024-02-01,6.669181242118638,125.17916264428294,9
2024-03-01,6.668891565758794,125.12377853536572,9
2023-10-01,6.767056611962565,2.7957425742574316,10
2023-11-01,6.886364003280211,2.1971848510688616,10
2023-12-01,6.814209525550252,2.5225853626043797,10
2024-01-01,6.855730174087404,2.3293989881192356,10
2024-02-01,6.831494028861014,2.4411518845053717,10
2024-03-01,6.845582414424177,2.3760201063216417,10
2023-10-01,6.491693353534053,71.30645355878397,11
2023-11-01,6.520414138087184,71.00721811417651,11
2023-12-01,6.514203924152366,70.43213719659869,11
2024-01-01,6.513215933693046,70.45274694805842,11
2024-02-01,6.51346714683609,70.47420235503704,11
2024-03-01,6.513500527554326,70.47307557189168,11
2023-10-01,6.553543579337198,42.99163933535485,17
2023-11-01,6.531789369941121,48.976342093541916,17
2023-12-01,6.5080307528271994,50.45851588305291,17
2024-01-01,6.504715226545122,51.20856033460616,17
2024-02-01,6.501820002399771,51.4065980467154,17
2024-03-01,6.501337963404221,51.50099267106583,17
2023-10-01,6.5177818926182995,103.19146477379843,24
2023-11-01,6.494272663054903,95.42497555017371,24
2023-12-01,6.487252332526346,96.26649448507197,24
2024-01-01,6.4835163998879235,95.68592619113468,24
2024-02-01,6.482061728281177,95.64762871308966,24
2024-03-01,6.48139792475733,95.58330098122252,24
2023-10-01,6.6558472011471395,99.94971085482462,25
2023-11-01,6.634384057306708,92.57896043764538,25
2023-12-01,6.639997149931029,94.49253735741945,25
2024-01-01,6.6385218239195405,93.98933603118473,25
2024-02-01,6.638909465694564,94.12154793737716,25
2024-03-01,6.638807610648616,94.08680844666617,25
2023-10-01,6.6309465549347655,81.90240929930098,26
2023-11-01,6.622479320513823,83.47325302823128,26
2023-12-01,6.620484301561663,84.20950969240016,26
2024-01-01,6.618771697287823,84.71901476994674,26
2024-02-01,6.617717341263374,85.04394310770033,26
2024-03-01,6.617030039932077,85.25431224809256,26
2023-10-01,6.79662048077112,46.03230058230966,30
2023-11-01,6.775982190994968,45.715270991479855,30
2023-12-01,6.765591239923282,46.335421114735624,30
2024-01-01,6.7607107134881765,46.539517220792504,30
2024-02-01,6.758379123641512,46.64746938834668,30
2024-03-01,6.757269950269674,46.697592730336936,30
2023-10-01,6.5320865360739795,76.9692593950196,32
2023-11-01,6.578332449476017,69.52649817024297,32
2023-12-01,6.5693264659146395,71.92985180663894,32
2024-01-01,6.571296797537343,71.13761708444878,32
2024-02-01,6.570805262266216,71.40148970144644,32
2024-03-01,6.570942916718103,71.31315142598521,32
2023-09-01,7.080482217149591,4.073487721365272,34
2023-10-01,6.8600044664045665,4.9192731743548705,34
2023-11-01,6.942534244300049,4.5809162067515174,34
2023-12-01,6.912190608329924,4.705797244595244,34
2024-01-01,6.92333496652181,4.659921299774572,34
2024-02-01,6.919242228761323,4.676769364994227,34
2023-10-01,6.69361961505501,70.12147911691147,37
2023-11-01,6.6956357384304335,54.20068899893769,37
2023-12-01,6.695785170152565,60.247186424136444,37
2024-01-01,6.695528641033139,57.94448299322876,37
2024-02-01,6.695669913885439,58.8228076455552,37
2024-03-01,6.695606548129087,58.48748634777752,37
